referencia,estado,poluente_emitido,quantidade
2013,MINAS GERAIS,Outros óxidos de chumbo,0.62
2013,RONDONIA,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",610.77
2013,RIO DE JANEIRO,Monóxido de carbono,1705.95
2013,SAO PAULO,"1,1,2-Tricloroetano",2391
2013,MARANHAO,Material Particulado (MP),74154.56999999998
2013,PIAUI,Monóxido de carbono (CO),386.01
2013,PARANA,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",66798.40000000001
2013,SERGIPE,Óxidos de nitrogênio (NOx),8932.09
2013,SAO PAULO,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",3342553.7699999996
2013,MINAS GERAIS,Ligas de estanho em forma bruta,8.7
2014,BAHIA,Monóxido de carbono,0
2014,PARANA,Monóxido de carbono (CO),78528870.46000005
2014,DISTRITO FEDERAL,Monóxido de carbono,8.18
2014,ESPIRITO SANTO,Monóxido de carbono (CO),329965.1900000002
2014,MARANHAO,Óxidos de enxofre (SOx),51202538.47
2014,AMAZONAS,Cloreto de hidrogênio (ácido clorídrico),0
2014,MARANHAO,Óxidos de nitrogênio (NOx),29554126.4
2014,MINAS GERAIS,Desperdícios e resíduos de chumbo,0.01
2014,RIO DE JANEIRO,Material Particulado (MP),319624.0700000001
2014,RIO GRANDE DO SUL,Óxidos de enxofre (SOx),52120.31000000001
2014,PIAUI,Monóxido de carbono (CO),15.33
2014,RIO GRANDE DO NORTE,Óxidos de nitrogênio (NOx),3784.0800000000004
2014,SAO PAULO,"Álcool etílico não desnaturado, com teor alcoólico em volume menor que 80%",1
2014,AMAZONAS,Poeiras de zinco,1.65
2014,DISTRITO FEDERAL,Monóxido de carbono (CO),949568.05
2014,BAHIA,Óxidos de nitrogênio (NOx),2529202.210000001
2014,SANTA CATARINA,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",1305.03
2014,TOCANTINS,Óxidos de nitrogênio (NOx),4854.17
2014,MATO GROSSO DO SUL,Monóxido de carbono (CO),845951.22
2014,RORAIMA,Monóxido de carbono (CO),0.1
2014,CEARA,Monóxido de carbono (CO),2076409.8500000003
2014,RIO GRANDE DO NORTE,Material Particulado (MP),9111.840000000002
2014,MATO GROSSO DO SUL,Dióxido de enxofre,0
2014,MINAS GERAIS,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",906
2014,ACRE,Monóxido de carbono (CO),11130.1
2014,PARAIBA,Monóxido de carbono (CO),12567.309999999996
2014,GOIAS,Dióxido de enxofre,1718.4
2014,SAO PAULO,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",546642.74
2014,PARANA,Óxidos de enxofre (SOx),24807.98
2014,ESPIRITO SANTO,Material Particulado (MP),166815.17999999996
2014,MINAS GERAIS,Óxidos de enxofre (SOx),59622.45000000002
2014,PERNAMBUCO,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",33948.94
2014,PARAIBA,Material Particulado (MP),1105484.53
2014,RIO GRANDE DO SUL,Monóxido de carbono,225711.32
2014,ALAGOAS,Óxidos de nitrogênio (NOx),1114.3900000000003
2014,ACRE,Material Particulado (MP),61.08
2014,MINAS GERAIS,Material Particulado (MP),1825871.2500000102
2014,TOCANTINS,Óxidos de enxofre (SOx),132.55999999999997
2014,SAO PAULO,Nitrogênio,0.01
2014,ESPIRITO SANTO,Óxidos de nitrogênio (NOx),34154.340000000004
2014,SANTA CATARINA,Óxidos de nitrogênio (NOx),2539375.0899999994
2014,RONDONIA,Material Particulado (MP),1690746.37
2014,BAHIA,Monóxido de carbono (CO),293690.07000000065
2014,SERGIPE,Monóxido de carbono (CO),1585.1200000000001
2014,RIO GRANDE DO SUL,Material Particulado (MP),514222.01
2014,RONDONIA,Óxidos de enxofre (SOx),2926.4200000000005
2014,SANTA CATARINA,Material Particulado (MP),179806.4699999999
2014,AMAZONAS,Óxidos de nitrogênio (NOx),52592617.58
2014,DISTRITO FEDERAL,Óxidos de enxofre (SOx),191.39
2014,CEARA,Óxidos de enxofre (SOx),1553.1599999999999
2014,RIO GRANDE DO SUL,Dióxido de enxofre,11602.279999999999
2014,DISTRITO FEDERAL,Nitrogênio,8426.41
2014,RIO GRANDE DO SUL,Partículas (PM10),11206.59
2014,AMAPA,Óxidos de nitrogênio (NOx),2315.46
2014,MATO GROSSO,Óxidos de enxofre (SOx),40333.35999999998
2014,MATO GROSSO DO SUL,Óxidos de enxofre (SOx),4905.819999999999
2014,SANTA CATARINA,Monóxido de carbono,3208.1
2014,AMAZONAS,Monóxido de carbono (CO),20195283.07
2014,SANTA CATARINA,Monóxido de carbono (CO),1283680.7500000002
2014,AMAZONAS,Partículas (PM10),139.32999999999998
2014,PIAUI,Óxidos de enxofre (SOx),0.35
2014,CEARA,Óxidos de nitrogênio (NOx),9457.06
2014,TOCANTINS,Material Particulado (MP),157721.78000000006
2014,AMAZONAS,Monóxido de carbono,1693.6
2014,MATO GROSSO,Óxidos de nitrogênio (NOx),293483.29000000004
2014,SAO PAULO,Cloro,394.22999999999996
2014,MATO GROSSO DO SUL,Óxidos de nitrogênio (NOx),434985.05
2014,MINAS GERAIS,Monóxido de carbono,6811.2
2014,MARANHAO,Material Particulado (MP),1007813.84
2014,RIO DE JANEIRO,Óxidos de enxofre (SOx),66825.11
2014,RONDONIA,Óxidos de nitrogênio (NOx),3764.77
2014,MINAS GERAIS,Partículas (PM10),0.01
2014,SAO PAULO,Material Particulado (MP),5008588.029999964
2014,RIO DE JANEIRO,Óxidos de nitrogênio (NOx),180367.09000000005
2014,SAO PAULO,Compostos orgânicos voláteis não metânicos(COVNM),1.43
2014,AMAZONAS,Material Particulado (MP),104900242.84
2014,PIAUI,Material Particulado (MP),4786.200000000002
2014,MARANHAO,Monóxido de carbono (CO),3956.980000000001
2014,CEARA,Dióxido de enxofre,99.33
2014,PARA,Material Particulado (MP),280749.9000000001
2014,SAO PAULO,Outros óxidos de chumbo,0.02
2014,AMAPA,Monóxido de carbono (CO),533.6300000000001
2014,MINAS GERAIS,Óxidos de nitrogênio (NOx),177504.99999999997
2014,RIO GRANDE DO SUL,Monóxido de carbono (CO),2854098.2199999993
2014,ALAGOAS,Monóxido de carbono (CO),15053.72
2014,PERNAMBUCO,Monóxido de carbono (CO),68594.93999999997
2014,PERNAMBUCO,Material Particulado (MP),147502.76000000004
2014,CEARA,Material Particulado (MP),34850.10999999999
2014,TOCANTINS,Monóxido de carbono (CO),4535.1900000000005
2014,AMAPA,Material Particulado (MP),64.94
2014,ACRE,Óxidos de nitrogênio (NOx),5043
2014,RIO GRANDE DO SUL,Óxido nitroso,552
2014,PARAIBA,Óxidos de enxofre (SOx),16400.62
2014,RIO DE JANEIRO,Monóxido de carbono (CO),1026695.8900000004
2014,SAO PAULO,Óxidos de enxofre (SOx),234421.0900000002
2014,MINAS GERAIS,Desperdício e resíduos de estanho,0.05
2014,RONDONIA,Monóxido de carbono (CO),3546535.559999998
2014,PERNAMBUCO,Óxidos de nitrogênio (NOx),33821547.99
2014,MINAS GERAIS,Monóxido de carbono (CO),129736064.56000005
2014,MATO GROSSO,Monóxido de carbono (CO),289586.69
2014,MATO GROSSO DO SUL,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",0
2014,ESPIRITO SANTO,Óxidos de enxofre (SOx),38460.97
2014,SERGIPE,Material Particulado (MP),1010.3
2014,GOIAS,Óxidos de nitrogênio (NOx),804606.0799999996
2014,MINAS GERAIS,Nitrogênio,0.9
2014,CEARA,Monóxido de carbono,318.48
2014,AMAZONAS,Óxidos de enxofre (SOx),50444582.059999995
2014,DISTRITO FEDERAL,Material Particulado (MP),233.73999999999992
2014,TOCANTINS,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",20
2014,PERNAMBUCO,Óxidos de enxofre (SOx),302076.94
2014,DISTRITO FEDERAL,Dióxido de enxofre,1020.99
2014,PERNAMBUCO,Dióxido de enxofre,1.43
2014,BAHIA,Óxidos de enxofre (SOx),1762937.8300000005
2014,SAO PAULO,Eter etilico do etilenoglicol,1
2014,MATO GROSSO,Material Particulado (MP),13019.970000000007
2014,PARAIBA,Óxidos de nitrogênio (NOx),48277.68
2014,SAO PAULO,Monóxido de carbono (CO),1906111.6000000013
2014,PARANA,Óxidos de nitrogênio (NOx),874421.9500000002
2014,SANTA CATARINA,Dióxido de enxofre,0.19
2014,GOIAS,Cinzas e resíduos contendo chumbo,0.13
2014,DISTRITO FEDERAL,Óxidos de nitrogênio (NOx),3779.45
2014,SAO PAULO,Cinzas e resíduos contendo chumbo,0.2
2014,PARANA,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",150
2014,PARA,Óxidos de enxofre (SOx),33960.28999999999
2014,SERGIPE,Óxidos de enxofre (SOx),4862.89
2014,SAO PAULO,Partículas (PM10),6552.46
2014,SAO PAULO,Monóxido de carbono,396.25
2014,PARA,Óxidos de nitrogênio (NOx),11728.78
2014,SAO PAULO,Outros fluoretos,21600
2014,SAO PAULO,Óxidos de nitrogênio (NOx),5180753.590000005
2014,AMAZONAS,Dióxido de enxofre,612.75
2014,SAO PAULO,Dióxido de enxofre,6809.73
2014,BAHIA,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",13194.59
2014,BAHIA,Material Particulado (MP),16066190.199999984
2014,ALAGOAS,Óxidos de enxofre (SOx),571.6099999999999
2014,AMAPA,Óxidos de enxofre (SOx),148.76
2014,RIO GRANDE DO SUL,Óxidos de nitrogênio (NOx),319203.94000000006
2014,MATO GROSSO DO SUL,Monóxido de carbono,9.25
2014,PARA,Monóxido de carbono (CO),37790.459999999985
2014,SAO PAULO,Óxido nitroso,99390.2
2014,SAO PAULO,Cloreto de hidrogênio (ácido clorídrico),58.660000000000004
2014,RIO GRANDE DO NORTE,Monóxido de carbono (CO),11398.570000000005
2014,SAO PAULO,"Manganês em formas brutas (lingotes, placas, etc.) e semimanufaturadas (barras, perfis, chapas, etc.); pós; desperdícios e resíduos",4
2014,ACRE,Óxidos de enxofre (SOx),95
2014,PARANA,Monóxido de carbono,329.63
2014,PARANA,Material Particulado (MP),862128.4200000005
2014,RIO DE JANEIRO,Dióxido de enxofre,0.15
2014,GOIAS,Óxidos de enxofre (SOx),10287.429999999998
2014,GOIAS,Monóxido de carbono (CO),515777604.69
2014,MATO GROSSO DO SUL,Material Particulado (MP),589691.7500000001
2014,ALAGOAS,Material Particulado (MP),103781.98999999999
2014,PIAUI,Óxidos de nitrogênio (NOx),121.3
2014,GOIAS,Outros fluoretos,345328.5
2014,DISTRITO FEDERAL,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",439.99
2014,PARANA,Dióxido de enxofre,1
2014,SERGIPE,Óxidos de nitrogênio (NOx),8014.289999999999
2014,GOIAS,Material Particulado (MP),1094412.5800000005
2014,SANTA CATARINA,Óxidos de enxofre (SOx),687732.4600000001
2014,CEARA,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",5.57
2014,RIO GRANDE DO NORTE,Óxidos de enxofre (SOx),1307.2699999999998
2014,MINAS GERAIS,Dióxido de enxofre,0.5
2015,RIO GRANDE DO SUL,Óxidos de nitrogênio (NOx),31789.98
2015,CEARA,Óxidos de nitrogênio (NOx),40391.530000000006
2015,PARANA,Material Particulado (MP),424948.3500000003
2015,SAO PAULO,Monóxido de carbono (CO),4498380.829999983
2015,ACRE,Óxidos de enxofre (SOx),251
2015,AMAPA,Óxidos de nitrogênio (NOx),1353.92
2015,PARANA,Óxidos de nitrogênio (NOx),358829.30999999994
2015,GOIAS,Monóxido de carbono (CO),89104513.01000004
2015,RIO GRANDE DO NORTE,Óxidos de nitrogênio (NOx),7272.790000000002
2015,ALAGOAS,Óxidos de nitrogênio (NOx),23368.989999999998
2015,MATO GROSSO DO SUL,Óxidos de nitrogênio (NOx),17006.560000000005
2015,RIO GRANDE DO NORTE,Monóxido de carbono (CO),65082.44999999999
2015,RIO GRANDE DO SUL,Monóxido de carbono (CO),3110434.9999999967
2015,SAO PAULO,Cloro,551.93
2015,MINAS GERAIS,Monóxido de carbono (CO),2796359.339999999
2015,SAO PAULO,Cloreto de hidrogênio (ácido clorídrico),52.56
2015,DISTRITO FEDERAL,Monóxido de carbono (CO),1377.77
2015,PARANA,Óxidos de enxofre (SOx),20419.739999999998
2015,MATO GROSSO DO SUL,Monóxido de carbono,7.83
2015,RIO GRANDE DO SUL,Dióxido de enxofre,0.6799999999999999
2015,AMAPA,Material Particulado (MP),46.81
2015,MINAS GERAIS,Óxidos de enxofre (SOx),179771.98999999993
2015,ACRE,Material Particulado (MP),125.00999999999999
2015,SAO PAULO,Outros óxidos de chumbo,0.03
2015,AMAZONAS,Dióxido de enxofre,112.33
2015,ESPIRITO SANTO,Monóxido de carbono (CO),241449.72999999998
2015,MATO GROSSO DO SUL,Material Particulado (MP),207156.12999999995
2015,GOIAS,Óxidos de nitrogênio (NOx),354550.4699999999
2015,PIAUI,Material Particulado (MP),3591.69
2015,SAO PAULO,"Álcool etílico não desnaturado, com teor alcoólico em volume menor que 80%",1
2015,PARANA,Monóxido de carbono (CO),76180699.71000014
2015,AMAZONAS,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",25.15
2015,PARAIBA,Óxidos de enxofre (SOx),14820.650000000001
2015,ALAGOAS,Óxidos de enxofre (SOx),98.62
2015,AMAZONAS,Óxidos de nitrogênio (NOx),50193885.44999998
2015,BAHIA,Monóxido de carbono (CO),696356.740000001
2015,SAO PAULO,Óxidos de enxofre (SOx),173381.62000000032
2015,SAO PAULO,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",320.4
2015,MINAS GERAIS,Material Particulado (MP),2605324.3899999703
2015,DISTRITO FEDERAL,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",439.99
2015,ESPIRITO SANTO,Óxidos de enxofre (SOx),40297.03
2015,MATO GROSSO,Monóxido de carbono (CO),173779.46000000005
2015,SANTA CATARINA,Óxidos de enxofre (SOx),120347.48000000004
2015,PERNAMBUCO,Óxidos de nitrogênio (NOx),24093949961.35
2015,ALAGOAS,Monóxido de carbono (CO),13467.38
